algorithm1,algorithm2,algorithm3,algorithm4,T1(n),T2(n),T3(n),T4(n)
2371734,853373,972557,435284,1000000000,100000000,33219281,10000000
4700876,1144561,826606,213587,3375000000,225000000,58603359,15000000
1899653,1869088,1120144,276293,8000000000,400000000,86438562,20000000
3560775,439408,1445672,310492,15625000000,625000000,116096405,25000000
5460837,563427,2014287,105239,27000000000,900000000,147206718,30000000
6326306,703901,2111776,111864,42875000000,1225000000,179524906,35000000
8904227,881299,2820055,117246,64000000000,1600000000,212877124,40000000
11975438,1062934,2829000,124179,91125000000,2025000000,247133390,45000000
15780718,1263398,1936690,131411,125000000000,2500000000,282192810,50000000
20362808,1502179,1261176,136691,166375000000,3025000000,317974785,55000000
25936034,1764564,4317224,143836,216000000000,3600000000,354413436,60000000
35832072,2104767,2370893,151406,274625000000,4225000000,391453908,65000000
45783391,2447418,1528365,157631,343000000000,4900000000,429049812,70000000
52711785,2768686,1596502,163106,421875000000,5625000000,467161402,75000000
60366695,3156474,1747291,170394,512000000000,6400000000,505754248,80000000
74877165,3520955,1822715,177887,614125000000,7225000000,544798230,85000000
87076262,3882626,1946203,183169,729000000000,8100000000,584266779,90000000
99927427,4296481,2069472,189727,857375000000,9025000000,624136283,95000000
125180743,4759773,2152452,197069,1000000000000,10000000000,664385619,100000000
